Estado,Fecha,Casos,Sospechosos,Negativos,Defunciones,Entretenimiento,Supermercados y farmacias,Parques,Transporte público,Oficinas,Hogares
AGUASCALIENTES,2020-02-15,0,0,1,0,7,6,6,-14,4,-2
AGUASCALIENTES,2020-02-16,0,0,0,0,9,7,5,1,1,-1
AGUASCALIENTES,2020-02-17,0,0,1,0,1,2,0,-5,12,-2
AGUASCALIENTES,2020-02-18,0,0,1,0,0,-3,3,-4,10,-2
AGUASCALIENTES,2020-02-19,0,0,1,0,-1,-2,-2,-2,9,-1
AGUASCALIENTES,2020-02-20,0,0,0,0,-1,-2,2,0,9,-2
AGUASCALIENTES,2020-02-21,0,0,1,0,-2,-1,1,-8,11,-2
AGUASCALIENTES,2020-02-22,0,0,0,0,0,1,4,-16,4,-1
AGUASCALIENTES,2020-02-23,0,0,0,0,0,1,3,-6,0,-1
AGUASCALIENTES,2020-02-24,0,0,0,0,-4,-3,-2,-4,13,-2
AGUASCALIENTES,2020-02-25,0,0,0,0,-4,-6,-1,-7,10,-2
AGUASCALIENTES,2020-02-26,0,0,0,0,-7,-5,1,-4,10,-1
AGUASCALIENTES,2020-02-27,0,0,1,0,0,0,9,0,10,-2
AGUASCALIENTES,2020-02-28,0,0,2,0,1,9,20,-7,10,-2
AGUASCALIENTES,2020-02-29,0,0,0,0,10,13,39,-12,6,-2
AGUASCALIENTES,2020-03-01,0,0,0,0,9,10,18,-2,2,-2
AGUASCALIENTES,2020-03-02,0,0,0,0,0,5,1,-7,13,-2
AGUASCALIENTES,2020-03-03,0,0,2,0,-1,-1,-1,-11,10,-1
AGUASCALIENTES,2020-03-04,0,0,0,0,-1,1,-4,-6,10,-1
AGUASCALIENTES,2020-03-05,0,0,3,0,0,1,2,-5,10,-2
AGUASCALIENTES,2020-03-06,0,0,2,0,-5,0,-1,-10,13,-2
AGUASCALIENTES,2020-03-07,0,0,0,0,1,2,7,-18,6,-1
AGUASCALIENTES,2020-03-08,0,0,1,0,7,2,9,-10,3,-1
AGUASCALIENTES,2020-03-09,0,0,0,0,-12,-10,-11,-10,-13,6
AGUASCALIENTES,2020-03-10,0,0,3,0,-2,-2,2,-2,9,-2
AGUASCALIENTES,2020-03-11,0,0,1,0,-1,-1,-1,1,9,-1
AGUASCALIENTES,2020-03-12,0,0,4,0,1,2,6,3,8,-2
AGUASCALIENTES,2020-03-13,0,0,1,0,1,9,0,8,3,-1
AGUASCALIENTES,2020-03-14,1,0,1,0,4,13,7,-4,2,-2
AGUASCALIENTES,2020-03-15,0,0,9,0,-2,8,-3,-21,-1,-2
AGUASCALIENTES,2020-03-16,0,0,8,0,-13,5,-12,10,-61,15
AGUASCALIENTES,2020-03-17,1,0,5,0,-8,3,-6,1,-3,3
AGUASCALIENTES,2020-03-18,3,0,17,0,-17,2,-16,-14,-10,7
AGUASCALIENTES,2020-03-19,1,0,12,0,-24,1,-14,-21,-15,8
AGUASCALIENTES,2020-03-20,2,0,17,0,-34,-1,-20,-35,-16,11
AGUASCALIENTES,2020-03-21,1,0,12,0,-37,-5,-21,-42,-9,10
AGUASCALIENTES,2020-03-22,1,0,20,0,-46,-16,-28,-50,-15,9
AGUASCALIENTES,2020-03-23,4,0,18,0,-36,-16,-27,-42,-28,13
AGUASCALIENTES,2020-03-24,0,0,33,0,-39,-18,-29,-43,-33,15
AGUASCALIENTES,2020-03-25,17,0,26,0,-42,-18,-35,-48,-36,17
AGUASCALIENTES,2020-03-26,4,0,36,0,-42,-16,-31,-49,-38,18
AGUASCALIENTES,2020-03-27,6,0,36,0,-45,-12,-31,-55,-37,20
AGUASCALIENTES,2020-03-28,5,0,17,0,-43,-10,-28,-57,-21,14
AGUASCALIENTES,2020-03-29,3,0,29,0,-51,-19,-37,-62,-24,12
AGUASCALIENTES,2020-03-30,4,0,38,0,-40,-17,-34,-55,-41,18
AGUASCALIENTES,2020-03-31,1,0,27,0,-40,-18,-36,-53,-44,19
AGUASCALIENTES,2020-04-01,0,0,40,0,-43,-16,-38,-53,-46,21
AGUASCALIENTES,2020-04-02,0,0,41,0,-50,-12,-35,-55,-49,22
AGUASCALIENTES,2020-04-03,2,0,37,0,-60,-6,-35,-61,-47,24
AGUASCALIENTES,2020-04-04,0,0,31,0,-59,-6,-32,-61,-29,16
AGUASCALIENTES,2020-04-05,2,0,12,0,-66,-18,-40,-68,-29,14
AGUASCALIENTES,2020-04-06,4,0,40,0,-56,-12,-32,-60,-51,21
AGUASCALIENTES,2020-04-07,1,0,34,0,-55,-12,-30,-59,-53,22
AGUASCALIENTES,2020-04-08,1,0,31,0,-53,-4,-33,-54,-53,22
AGUASCALIENTES,2020-04-09,0,0,2,0,-62,-6,-35,-60,-66,25
AGUASCALIENTES,2020-04-10,3,0,15,1,-79,-27,-53,-77,-77,31
AGUASCALIENTES,2020-04-11,1,0,22,0,-66,-17,-38,-74,-49,19
AGUASCALIENTES,2020-04-12,2,0,13,0,-68,-23,-46,-70,-31,14
AGUASCALIENTES,2020-04-13,8,0,44,1,-55,-11,-33,-60,-48,21
AGUASCALIENTES,2020-04-14,2,0,41,0,-53,-10,-31,-61,-50,22
AGUASCALIENTES,2020-04-15,12,0,60,0,-51,-2,-32,-57,-50,22
AGUASCALIENTES,2020-04-16,7,0,34,0,-51,-6,-32,-60,-50,22
AGUASCALIENTES,2020-04-17,18,0,20,1,-54,-7,-32,-66,-47,24
AGUASCALIENTES,2020-04-18,13,0,17,0,-58,-17,-32,-67,-27,15
AGUASCALIENTES,2020-04-19,3,0,28,1,-64,-26,-42,-70,-24,13
AGUASCALIENTES,2020-04-20,17,0,82,0,-55,-22,-35,-63,-47,21
AGUASCALIENTES,2020-04-21,13,0,61,0,-57,-26,-41,-63,-50,22
AGUASCALIENTES,2020-04-22,11,0,45,1,-58,-25,-44,-65,-50,23
AGUASCALIENTES,2020-04-23,21,0,90,0,-59,-24,-41,-65,-50,23
AGUASCALIENTES,2020-04-24,11,0,88,0,-61,-22,-42,-70,-47,25
AGUASCALIENTES,2020-04-25,1,0,6,0,-60,-21,-39,-69,-29,16
AGUASCALIENTES,2020-04-26,7,0,23,0,-67,-30,-49,-74,-26,13
AGUASCALIENTES,2020-04-27,17,0,82,1,-57,-26,-41,-65,-48,22
AGUASCALIENTES,2020-04-28,32,0,84,1,-56,-24,-38,-64,-50,17
AGUASCALIENTES,2020-04-29,18,0,113,0,-54,-18,-40,-61,-49,23
AGUASCALIENTES,2020-04-30,27,0,125,1,-47,-5,-37,-57,-48,20
AGUASCALIENTES,2020-05-01,4,0,18,0,-64,-17,-43,-71,-66,29
AGUASCALIENTES,2020-05-02,4,0,17,0,-58,-16,-36,-70,-32,16
AGUASCALIENTES,2020-05-03,3,0,135,0,-65,-28,-46,-71,-22,13
AGUASCALIENTES,2020-05-04,50,0,92,1,-53,-20,-40,-64,-46,21
AGUASCALIENTES,2020-05-05,12,1,76,0,-53,-21,-39,-62,-49,22
AGUASCALIENTES,2020-05-06,16,1,76,3,-54,-19,-41,-61,-48,22
AGUASCALIENTES,2020-05-07,24,1,149,3,-54,-17,-37,-60,-48,22
AGUASCALIENTES,2020-05-08,14,0,35,1,-56,-16,-41,-68,-45,25
AGUASCALIENTES,2020-05-09,0,0,45,0,-52,-5,-28,-66,-23,14
AGUASCALIENTES,2020-05-10,4,0,40,1,-58,-15,-38,-72,-4,7
AGUASCALIENTES,2020-05-11,11,0,126,0,-54,-21,-37,-63,-45,20
AGUASCALIENTES,2020-05-12,43,1,204,0,-52,-21,-37,-61,-46,21
AGUASCALIENTES,2020-05-13,14,0,56,2,-50,-18,-37,-62,-46,22
AGUASCALIENTES,2020-05-14,23,0,62,1,-48,-12,-32,-59,-46,21
AGUASCALIENTES,2020-05-15,27,0,30,1,-48,-5,-29,-65,-42,21
AGUASCALIENTES,2020-05-16,3,0,35,1,-49,-6,-27,-66,-21,13
AGUASCALIENTES,2020-05-17,7,0,32,4,-58,-17,-37,-67,-13,11
AGUASCALIENTES,2020-05-18,37,0,40,0,-47,-14,-30,-62,-41,19
AGUASCALIENTES,2020-05-19,20,1,54,0,-48,-17,-29,-59,-43,20
AGUASCALIENTES,2020-05-20,27,1,70,0,-48,-14,-32,-58,-43,21
AGUASCALIENTES,2020-05-21,30,1,69,2,-48,-13,-30,-59,-43,21
AGUASCALIENTES,2020-05-22,24,0,43,1,-50,-11,-29,-64,-38,21
AGUASCALIENTES,2020-05-23,17,0,46,0,-49,-8,-24,-66,-16,12
AGUASCALIENTES,2020-05-24,8,0,32,4,-56,-17,-29,-65,-9,10
AGUASCALIENTES,2020-05-25,39,0,37,1,-47,-16,-29,-59,-38,18
AGUASCALIENTES,2020-05-26,39,0,69,1,-47,-18,-32,-55,-38,18
AGUASCALIENTES,2020-05-27,36,0,108,4,-47,-16,-33,-58,-38,19
AGUASCALIENTES,2020-05-28,45,0,45,3,-46,-13,-28,-55,-38,19
AGUASCALIENTES,2020-05-29,42,1,24,3,-45,-3,-28,-58,-34,19
