,Unnamed: 0,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
0,896879,MX,Mexico,,,,,,2020-02-15,6,4,6,4,3,-1
1,896880,MX,Mexico,,,,,,2020-02-16,7,6,7,6,2,-1
2,896881,MX,Mexico,,,,,,2020-02-17,2,4,3,5,11,-2
3,896882,MX,Mexico,,,,,,2020-02-18,0,-1,3,2,9,-2
4,896883,MX,Mexico,,,,,,2020-02-19,0,0,2,3,8,-1
5,896884,MX,Mexico,,,,,,2020-02-20,0,-1,2,3,7,-1
6,896885,MX,Mexico,,,,,,2020-02-21,-2,-2,-1,4,11,-1
7,896886,MX,Mexico,,,,,,2020-02-22,0,0,7,4,4,0
8,896887,MX,Mexico,,,,,,2020-02-23,2,1,8,7,2,-1
9,896888,MX,Mexico,,,,,,2020-02-24,-2,0,6,4,8,-1
10,896889,MX,Mexico,,,,,,2020-02-25,-2,-2,7,2,6,-1
11,896890,MX,Mexico,,,,,,2020-02-26,-3,-1,3,1,6,-1
12,896891,MX,Mexico,,,,,,2020-02-27,1,1,0,2,7,-1
13,896892,MX,Mexico,,,,,,2020-02-28,3,6,3,6,12,-2
14,896893,MX,Mexico,,,,,,2020-02-29,6,8,5,5,6,-1
15,896894,MX,Mexico,,,,,,2020-03-01,6,9,7,7,3,-1
16,896895,MX,Mexico,,,,,,2020-03-02,1,6,2,4,10,-2
17,896896,MX,Mexico,,,,,,2020-03-03,1,3,2,2,9,-2
18,896897,MX,Mexico,,,,,,2020-03-04,1,4,2,3,9,-1
19,896898,MX,Mexico,,,,,,2020-03-05,2,3,3,3,8,-1
20,896899,MX,Mexico,,,,,,2020-03-06,-1,0,0,3,12,-1
21,896900,MX,Mexico,,,,,,2020-03-07,1,2,4,2,6,0
22,896901,MX,Mexico,,,,,,2020-03-08,3,3,10,4,3,0
23,896902,MX,Mexico,,,,,,2020-03-09,-11,-6,-8,-17,-16,7
24,896903,MX,Mexico,,,,,,2020-03-10,-2,0,2,3,9,-2
25,896904,MX,Mexico,,,,,,2020-03-11,-1,2,2,2,8,-1
26,896905,MX,Mexico,,,,,,2020-03-12,1,4,3,3,8,-2
27,896906,MX,Mexico,,,,,,2020-03-13,2,6,3,5,5,-1
28,896907,MX,Mexico,,,,,,2020-03-14,2,10,6,4,3,-1
29,896908,MX,Mexico,,,,,,2020-03-15,0,7,6,-4,1,-1
30,896909,MX,Mexico,,,,,,2020-03-16,-11,5,-7,-30,-54,13
31,896910,MX,Mexico,,,,,,2020-03-17,-7,5,-8,-9,-3,2
32,896911,MX,Mexico,,,,,,2020-03-18,-13,3,-14,-17,-10,6
33,896912,MX,Mexico,,,,,,2020-03-19,-17,1,-16,-22,-14,7
34,896913,MX,Mexico,,,,,,2020-03-20,-23,-3,-22,-26,-14,9
35,896914,MX,Mexico,,,,,,2020-03-21,-31,-7,-32,-29,-7,9
36,896915,MX,Mexico,,,,,,2020-03-22,-37,-13,-37,-33,-10,8
37,896916,MX,Mexico,,,,,,2020-03-23,-31,-14,-30,-37,-29,12
38,896917,MX,Mexico,,,,,,2020-03-24,-35,-16,-33,-41,-34,14
39,896918,MX,Mexico,,,,,,2020-03-25,-37,-16,-36,-44,-36,16
40,896919,MX,Mexico,,,,,,2020-03-26,-37,-17,-36,-46,-37,16
41,896920,MX,Mexico,,,,,,2020-03-27,-39,-17,-37,-47,-34,17
42,896921,MX,Mexico,,,,,,2020-03-28,-40,-14,-39,-43,-18,12
43,896922,MX,Mexico,,,,,,2020-03-29,-45,-19,-46,-47,-20,11
44,896923,MX,Mexico,,,,,,2020-03-30,-35,-15,-36,-47,-38,15
45,896924,MX,Mexico,,,,,,2020-03-31,-35,-15,-37,-48,-41,16
46,896925,MX,Mexico,,,,,,2020-04-01,-37,-13,-39,-50,-44,18
47,896926,MX,Mexico,,,,,,2020-04-02,-47,-12,-41,-52,-46,19
48,896927,MX,Mexico,,,,,,2020-04-03,-56,-11,-43,-52,-43,21
49,896928,MX,Mexico,,,,,,2020-04-04,-57,-11,-46,-48,-27,16
50,896929,MX,Mexico,,,,,,2020-04-05,-62,-19,-52,-51,-27,13
51,896930,MX,Mexico,,,,,,2020-04-06,-54,-15,-41,-54,-49,19
52,896931,MX,Mexico,,,,,,2020-04-07,-53,-18,-42,-56,-52,20
53,896932,MX,Mexico,,,,,,2020-04-08,-52,-13,-42,-55,-53,20
54,896933,MX,Mexico,,,,,,2020-04-09,-58,-16,-46,-62,-64,23
55,896934,MX,Mexico,,,,,,2020-04-10,-71,-30,-57,-72,-72,30
56,896935,MX,Mexico,,,,,,2020-04-11,-66,-26,-54,-63,-49,20
57,896936,MX,Mexico,,,,,,2020-04-12,-65,-29,-58,-57,-31,13
58,896937,MX,Mexico,,,,,,2020-04-13,-54,-20,-45,-56,-49,20
59,896938,MX,Mexico,,,,,,2020-04-14,-54,-19,-44,-57,-50,21
60,896939,MX,Mexico,,,,,,2020-04-15,-51,-13,-44,-56,-50,21
61,896940,MX,Mexico,,,,,,2020-04-16,-51,-15,-45,-57,-51,22
62,896941,MX,Mexico,,,,,,2020-04-17,-55,-18,-47,-58,-47,24
63,896942,MX,Mexico,,,,,,2020-04-18,-59,-23,-51,-55,-29,17
64,896943,MX,Mexico,,,,,,2020-04-19,-62,-28,-56,-56,-26,13
65,896944,MX,Mexico,,,,,,2020-04-20,-55,-25,-47,-57,-47,20
66,896945,MX,Mexico,,,,,,2020-04-21,-58,-28,-50,-60,-50,21
67,896946,MX,Mexico,,,,,,2020-04-22,-58,-27,-51,-60,-50,22
68,896947,MX,Mexico,,,,,,2020-04-23,-59,-28,-52,-61,-51,23
69,896948,MX,Mexico,,,,,,2020-04-24,-61,-28,-53,-62,-47,24
70,896949,MX,Mexico,,,,,,2020-04-25,-62,-27,-55,-58,-31,18
71,896950,MX,Mexico,,,,,,2020-04-26,-65,-31,-60,-59,-28,14
72,896951,MX,Mexico,,,,,,2020-04-27,-58,-28,-51,-60,-48,22
73,896952,MX,Mexico,,,,,,2020-04-28,-58,-28,-50,-61,-50,17
74,896953,MX,Mexico,,,,,,2020-04-29,-55,-21,-49,-60,-50,22
75,896954,MX,Mexico,,,,,,2020-04-30,-47,-10,-45,-57,-49,20
76,896955,MX,Mexico,,,,,,2020-05-01,-61,-22,-54,-67,-63,28
